mmc_code,mmc_name,mmc_type,price_low,price_high,rvs_code,rvs_procedure,case_rate,confidence,rationale
12010039,DILATATION AND CURETTAGE PACKAGE,DELIVERY SURGERY,62700,62700,58120,DILATION AND CURETTAGE,21450.00,high,Dilation and curettage.
12010018,DR OB GYNE MAJOR VAGINAL HYSTERECTOMY,DELIVERY SURGERY,40590,40590,58260,VAGINAL HYSTERECTOMY;,59085.00,medium,"Vaginal hysterectomy -- the operation match is clear. Flagged by the sanity check: the case rate (P59,085) EXCEEDS MMC's price (P40,590), which would make it fully covered. The mapping is right; the price is the oddity -- this is a 'DR' (delivery-room) line billed at P40,590 flat, so it is very likely a component charge rather than a whole-operation package. Treat the resulting 'fully covered' result as understating the true bill."
12010040,EXPLORATORY LAPARATOMY PACKAGE,DELIVERY SURGERY,172600,202100,49000,"EXPLORATORY LAPAROTOMY, EXPLORATORY CELIOTOMY W/ OR W/O BIOPSY(S)",45435.00,high,Exploratory laparotomy/celiotomy.
18170006,FISTULLECTOMY PACKAGE,OPERATING ROOM,62280,67280,46270,SURGICAL TREATMENT OF ANAL FISTULA (FISTULECTOMY/FISTULOTOMY); SUBCUTANEOUS,23634.00,medium,"Anal fistulectomy, subcutaneous. Deeper variants (46275+) pay the same P23,634, so the choice among them cannot change the estimate."
18170016,FUNCTIONAL ENDOSCOPIC SINUS SURGERY PACKAGE,OPERATING ROOM,105960,134960,31255,"NASAL/SINUS ENDOSCOPY, SURGICAL; W/ ETHMOIDECTOMY, TOTAL (ANTERIOR AND POSTERIOR)",35100.00,high,FESS = nasal/sinus endoscopy with total ethmoidectomy. The plain intranasal ethmoidectomy codes (31200-31205) are the non-endoscopic operation.
18170005,HEMORRHOIDECTOMY PACKAGE W/ CAUTERY,OPERATING ROOM,63280,68280,46255,"HEMORRHOIDECTOMY, INTERNAL AND EXTERNAL, SIMPLE;",23634.00,high,"Internal and external hemorrhoidectomy; cautery is the technique, not extra surgery."
18170025,HEMORRHOIDECTOMY PACKAGE W/ LIGASURE,OPERATING ROOM,84280,90080,46255,"HEMORRHOIDECTOMY, INTERNAL AND EXTERNAL, SIMPLE;",23634.00,high,"As above; LigaSure is a vessel-sealing device, not a different procedure."
18170043,HYSTERECTOMY PACKAGE (ROBOT-ASSISTED),OPERATING ROOM,592000,798000,58150,"TOTAL ABDOMINAL HYSTERECTOMY (CORPUS AND CERVIX), W/ OR W/O REMOVAL OF TUBE(S), W/ OR W/O REMOVAL OF OVARY(S);",58500.00,medium,"Catalog has no laparoscopic/robotic hysterectomy code (58570-58573 absent), so the abdominal total hysterectomy is the closest honest match."
18170042,LAP PROSTATECTOMY (ROBOT-ASSISTED),OPERATING ROOM,597500,771000,55866,"LAPAROSCOPY, SURGICAL PROSTATECTOMY, RETROPUBIC RADICAL, INCLUDING NERVE SPARING",90675.00,high,Laparoscopic radical retropubic prostatectomy; robot-assisted is a laparoscopic approach.
18170011,LAPAROSCOPIC CHOLECYSTECTOMY PACKAGE,OPERATING ROOM,150000,184000,47562,"LAPAROSCOPY, SURGICAL; CHOLECYSTECTOMY (ANY METHOD)",60450.00,high,"Laparoscopic cholecystectomy. Chosen over 47564 (+common-duct exploration, P90,675) and 47563 (+cholangiography) because MMC's name states neither extra."
18170040,LAPAROSCOPIC CHOLECYSTECTOMY W/ ICG PACKAGE,OPERATING ROOM,174500,208500,47562,"LAPAROSCOPY, SURGICAL; CHOLECYSTECTOMY (ANY METHOD)",60450.00,high,"ICG is a fluorescence imaging dye used during the same operation, not extra surgery."
18170028,LOWER EXTREMITY SURGERY TOTAL KNEE REPLACE BARRIER EXTREMITY PACKAGE,OPERATING ROOM,268000,334000,27447,"ARTHROPLASTY, KNEE, CONDYLE AND PLATEAU; MEDIAL AND LATERAL COMPARTMENTS W/ OR W/O PATELLA RESURFACING (""TOTAL KNEE REPLACEMENT"")",78624.00,high,Total knee arthroplasty.
18170037,MICRODISCECTOMY PACKAGE,OPERATING ROOM,216300,216300,63030,"LAMINOTOMY (HEMILAMINECTOMY), W/ DECOMPRESSION OF NERVE ROOT (S), INCLUDING PARTIAL FACETECTOMY , FORAMINOTOMY AND/OR EXCISION OF HERNIATED INTERVERTEBRAL DISK; ONE INTERSPACE,LUMBAR",90675.00,high,"Laminotomy/hemilaminectomy with nerve-root decompression, one lumbar interspace."
18170010,MODIFIED RADICAL MASTECTOMY SURGERY PACKAGE,OPERATING ROOM,154200,164200,19240,"MASTECTOMY, MODIFIED RADICAL, INCLUDING AXILLARY LYMPH NODES, W/ OR W/O PECTORALIS MINOR MUSCLE, BUT EXCLUDING PECTORALIS MAJOR MUSCLE",42900.00,high,Modified radical mastectomy including axillary nodes.
18170032,OPEN HEPATECTOMY SURGERY PACKAGE,OPERATING ROOM,244400,278400,47120,"HEPATECTOMY, RESECTION OF LIVER; PARTIAL LOBECTOMY",104130.00,high,Partial hepatic lobectomy.
18170021,OPEN INGUINAL HERNIA W/ MESH PACKAGE,OPERATING ROOM,82600,92600,49505,"REPAIR INITIAL INGUINAL HERNIA, AGE 5 YEARS OR OVER; REDUCIBLE",40950.00,high,"Initial inguinal hernia repair, age 5+, reducible; the paediatric codes (49495-49500) are age-restricted and do not apply to a general adult package."
18170031,PROSTATE BIOPSY PACKAGE,OPERATING ROOM,45400,49900,55700,"BIOPSY, PROSTATE; NEEDLE OR PUNCH, SINGLE OR MULTIPLE, ANY APPROACH",18135.00,high,Needle/punch prostate biopsy.
18170007,SHOULDER ARTHROSCOPY PACKAGE,OPERATING ROOM,153880,177880,29815,"ARTHROSCOPY, SHOULDER, DIAGNOSTIC, W/ OR W/O SYNOVIAL BIOPSY",35100.00,low,"MMC's name is unqualified. 29815 (diagnostic, P35,100) is both the literal reading and the lowest of eight shoulder-arthroscopy codes (up to P59,943) -- conservative. If the package is in fact a surgical repair the true benefit is higher."
18170041,SLNB MODIFIED RADICAL MASTECTOMY PACKAGE,OPERATING ROOM,219600,231000,19240,"MASTECTOMY, MODIFIED RADICAL, INCLUDING AXILLARY LYMPH NODES, W/ OR W/O PECTORALIS MINOR MUSCLE, BUT EXCLUDING PECTORALIS MAJOR MUSCLE",42900.00,medium,Sentinel lymph node biopsy is performed within the same MRM; 19240 already includes axillary node work.
12010048,SPONTANEOUS VAGINAL DELIVERY,DELIVERY SURGERY,32140,32140,59409,VAGINAL DELIVERY ONLY (W/ EPISIOTOMY),18915.00,high,Normal spontaneous delivery.
12010042,SPONTANEOUS VAGINAL MOTHER PACKAGE,DELIVERY SURGERY,51300,139100,59409,VAGINAL DELIVERY ONLY (W/ EPISIOTOMY),18915.00,medium,"Delivery-only code (59409, P18,915) chosen over the antepartum-through-postpartum package NSD01 (P9,750): MMC bills this as a tertiary-hospital delivery, not a primary-care maternity bundle."
12010043,TAHBSO PACKAGE,DELIVERY SURGERY,201000,226000,58150,"TOTAL ABDOMINAL HYSTERECTOMY (CORPUS AND CERVIX), W/ OR W/O REMOVAL OF TUBE(S), W/ OR W/O REMOVAL OF OVARY(S);",58500.00,high,"Total abdominal hysterectomy; 58150's text explicitly covers 'w/ or w/o removal of tube(s)/ovary(s)', which is the BSO in TAHBSO."
18170019,THYROIDECTOMY SURGERY PACKAGE,OPERATING ROOM,157500,189400,60240,"THYROIDECTOMY, TOTAL OR COMPLETE",60450.00,high,Total/complete thyroidectomy. Malignancy variants with neck dissection (60252/60254) are not indicated by MMC's name.
18170035,TONSILLECTOMY SURGERY PACKAGE,OPERATING ROOM,83600,97600,42825,"TONSILLECTOMY, PRIMARY OR SECONDARY",35100.00,high,"Tonsillectomy alone; 42820 bundles adenoidectomy, which MMC's name does not mention."
18170045,TOTAL KNEE REPLACEMENT - BILATERAL PACKAGE,OPERATING ROOM,428000,536000,27447,"ARTHROPLASTY, KNEE, CONDYLE AND PLATEAU; MEDIAL AND LATERAL COMPARTMENTS W/ OR W/O PATELLA RESURFACING (""TOTAL KNEE REPLACEMENT"")",78624.00,high,Total knee arthroplasty (medial AND lateral compartments). Note PhilHealth pays one case rate; the bilateral MMC price covers two knees.
18170038,TRANSFORAMINAL LUMBAR INTERBODY FUSION PACKAGE,OPERATING ROOM,259800,259800,22630,"ARTHRODESIS, POSTERIOR INTERBODY TECHNIQUE, SINGLE INTERSPACE; LUMBAR",78624.00,high,"Arthrodesis, posterior interbody technique, single lumbar interspace. TLIF is a posterior approach; 22554/22556 are anterior."
18170046,TYMPANOPLASTY - OP LOCAL OUP PACKAGE,OPERATING ROOM,89500,140500,69631,"TYMPANOPLASTY W/O MASTOIDECTOMY (INCLUDING CANALPLASTY, ATTICOTOMY AND/ OR MIDDLE EAR SURGERY), INITIAL OR REVISION; W/O OSSICULAR CHAIN RECONSTRUCTION",59943.00,high,Tympanoplasty without mastoidectomy.
18170047,TYMPANOPLASTY - WITH SEDATION OUP PACKAGE,OPERATING ROOM,101500,152500,69631,"TYMPANOPLASTY W/O MASTOIDECTOMY (INCLUDING CANALPLASTY, ATTICOTOMY AND/ OR MIDDLE EAR SURGERY), INITIAL OR REVISION; W/O OSSICULAR CHAIN RECONSTRUCTION",59943.00,high,"Same operation; sedation is the anaesthetic, not a different procedure."
18170012,TYMPANOPLASTY MASTOIDECTOMY PACKAGE,OPERATING ROOM,175120,189120,69641,"TYMPANOPLASTY W/ MASTOIDECTOMY (INCLUDING CANALPLASTY, MIDDLE EAR SURGERY, TYMPANIC MEMBRANE REPAIR); W/O OSSICULAR CHAIN RECONSTRUCTION",90675.00,high,"Tympanoplasty WITH mastoidectomy; 69604 is a revision mastoidectomy, a different case."
18170022,VARICOCELECTOMY PACKAGE,OPERATING ROOM,83700,110200,55530,EXCISION OF VARICOCELE OR LIGATION OF SPERMATIC VEINS FOR VARICOCELE;,25155.00,high,"Excision of varicocele. Chosen over 55535/55540 (P29,172) which specify abdominal approach / hernia repair, neither stated by MMC."
18170023,VEIN STRIPPING PACKAGE,OPERATING ROOM,83100,106600,37700,"LIGATION AND DIVISION OF LONG SAPHENOUS VEIN AT SAPHENOFEMORAL JUNCTION, OR DISTAL INTERRUPTIONS",18135.00,medium,Ligation and division of the long saphenous vein at the saphenofemoral junction; the dedicated stripping codes (37718/37722) are absent from this catalog.
12010037,CESAREAN SECTION BABY PACKAGE,DELIVERY SURGERY,17500,29600,,,,unmapped,"Newborn care, not a maternal surgical procedure."
12010004,DR AMBULATORY-GYNE BIOPSY,DELIVERY SURGERY,3000,3000,,,,unmapped,Unqualified biopsy -- site not stated.
12010013,DR LAPAROSCOPY (KITTING),DELIVERY SURGERY,82100,82100,,,,unmapped,"Instrument kitting charge, not a distinct operation."
12010044,DR LAPAROSCOPY PACKAGE,DELIVERY SURGERY,273500,292000,,,,unmapped,Unqualified laparoscopy -- the operation performed is not stated.
18170018,INFERIOR VENA CAVA (IVC) FILTER INSERTION PACKAGE,OPERATING ROOM,136400,158400,,,,unmapped,No IVC filter code in this catalog.
18170020,INTRA CORPOREAL LITHOTRIPSY SPINAL PACKAGE,OPERATING ROOM,118600,131000,,,,unmapped,Ambiguous: neither the target organ nor the endoscopic route is stated.
18170003,PERM CATHETER INSERTION PACKAGE OUP,OPERATING ROOM,87800,87800,,,,unmapped,No tunnelled-catheter insertion code in this catalog.
18170004,PICC LINE INSERTION PACKAGE,OPERATING ROOM,47300,57300,,,,unmapped,No PICC/central-catheter insertion code in this catalog.
18170002,PORTA CATHETER INSERTION PACKAGE OUP,OPERATING ROOM,93400,93400,,,,unmapped,No implanted-port insertion code in this catalog.
18170036,PRECISION CATARACT PHACOEMULSIFICATION PER EYE PACKAGE,OPERATING ROOM,91600,91600,,,,unmapped,No primary cataract-extraction-with-IOL code in this catalog (66984 absent; only 66830 secondary membranous cataract and 66985 IOL not associated with extraction).
18170014,RADIOFREQUENCY ABLATION (RFA) PACKAGE,OPERATING ROOM,104600,135100,,,,unmapped,"RFA is a modality; the case rate depends on the target lesion, which is not stated."
12010041,SPONTANEOUS VAGINAL BABY PACKAGE,DELIVERY SURGERY,18700,28900,,,,unmapped,"Newborn care, not a maternal surgical procedure."
18170013,VIDEO ASSISTED THORACIC SURGERY (VATS) PACKAGE,OPERATING ROOM,168700,168700,,,,unmapped,"VATS names the approach, not the operation. Sixteen surgical-thoracoscopy codes span P23,634-P90,675 and nothing in the item name selects among them."
